url,vin,lot_number,auction,country,sale_branch,seller,auction_date,vehicle_type,year,make,model,color,bodytype,drive,fuel,engine,transmission,images
https://144.202.14.57/lot/146641286-2015-infiniti-q70-37-jn1by1ar8fm560518,JN1BY1AR8FM560518,#68214664,Copart,United States,In - Fort Wayne,-,2024-09-23,Automobile,2015,Infiniti,Q70 3.7,White,-,All Wheel Drive,Gas,3.7 L 6 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0824-20264471f57244dcb19a9c0f0e8e24b2_ful']
https://144.202.14.57/lot/143519806-2015-mercedes-benz-s-550-4mat-wddug8fb5fa147220,WDDUG8FB5FA147220,#60891534,Copart,United States,Nc - Lumberton,-,2024-09-23,Automobile,2015,Mercedes-benz,S 550 4mat,Black,-,All Wheel Drive,Gas,4.6 L 8 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0724-7c19f259ed9e491693a073963a03309e_ful']
https://144.202.14.57/lot/141869256-2012-chevrolet-camaro-ss-2g1fs1ewxc9128451,2G1FS1EWXC9128451,#65296814,Copart,United States,In - Fort Wayne,-,2024-09-23,Automobile,2012,Chevrolet,Camaro Ss,Black,-,Rear Wheel Drive,Gas,6.2 L 8 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0724-2afdf428878f4055b198248d7126d300_ful']
https://144.202.14.57/lot/143947896-2023-honda-pilot-elit-5fnyg1h84pb051043,5FNYG1H84PB051043,#69874934,Copart,United States,Nj - Trenton,-,2024-09-23,Automobile,2023,Honda,Pilot Elit,White,-,All Wheel Drive,Gas,3.5 L 6 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0924-43a0d2e1a13445e3893faba92a4bc1cc_ful']
https://144.202.14.57/lot/144989426-2024-honda-civic-spor-2hgfe2f50rh568401,2HGFE2F50RH568401,#62498944,Copart,United States,Sc - Spartanburg,-,2024-09-23,Automobile,2024,Honda,Civic Spor,Grey,-,Front Wheel Drive,Gas,2.0 L 4 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0724-d48ab500fe314891bbbb2254d507328f_ful']
https://144.202.14.57/lot/148495226-2024-honda-accord-ex-1hgcy1f30ra048622,1HGCY1F30RA048622,#62259484,Copart,United States,Sc - Spartanburg,-,2024-09-23,Automobile,2024,Honda,Accord Ex,White,-,Front Wheel Drive,Gas,1.5 L 4 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0724-b26adc79a92b43fa8733737c367141a4_ful']
https://144.202.14.57/lot/141038645-2023-honda-accord-tou-1hgcy2f89pa062002,1HGCY2F89PA062002,#54683014,Copart,United States,Sc - Spartanburg,-,2024-09-23,Automobile,2023,Honda,Accord Tou,Blue,-,Front Wheel Drive,Hybrid Engine,2.0 L 4 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0524-c059589ddfc041bf94ad0c4813e011f6_ful']
https://144.202.14.57/lot/144923876-2007-mercedes-benz-e-550-wdbuf72x47a984422,WDBUF72X47A984422,#67832944,Copart,United States,Sc - North Charleston,Insurance company,2024-09-23,Automobile,2007,Mercedes-benz,E 550,Black,-,Rear Wheel Drive,Gas,5.5 L 8 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0824-17a6433a3c0848daab74cbce97d2e006_ful']
https://144.202.14.57/lot/143350766-2019-mercedes-benz-cls-amg-53-wdd2j6bbxka028110,WDD2J6BBXKA028110,#66705334,Copart,United States,Fl - Miami Central,-,2024-09-23,Automobile,2019,Mercedes-benz,Cls Amg 53,Blue,-,All Wheel Drive,Gas,3.0 L 6 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0824-b35fd6fe983c4a9d83dbbdf14de40f15_ful']
https://144.202.14.57/lot/141905976-2023-jeep-wrangler-r-1c4jjxr66pw565166,1C4JJXR66PW565166,#67950914,Copart,United States,Sc - Spartanburg,-,2024-09-23,Automobile,2023,Jeep,Wrangler R,Black,-,4x4 W/rear Wheel Drv,Hybrid Engine,2.0 L 4 cyl,-,['https://ucars.pro/lot/images/copart/lpp-0924-1d9dbeae74514e10861a57261dd1b919_ful']
https://144.202.14.57/lot/141515765-2023-ford-f150-super-1ftfw1e8xpkf20265,1FTFW1E8XPKF20265,#56751514,Copart,United States,In - Fort Wayne,-,2024-09-23,Automobile,2023,Ford,F150 Super,Grey,-,4x4 W/rear Wheel Drv,Gas,3.5 L 6 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0524-c666b05e42bb4be4a50613ef334d772f_ful']
https://144.202.14.57/lot/140608276-2014-chevrolet-ss-6g3f15rw9el931259,6G3F15RW9EL931259,#67280604,Copart,United States,Sc - Spartanburg,Insurance company,2024-09-23,Automobile,2014,Chevrolet,Ss,Black,-,Rear Wheel Drive,Gas,6.2 L 8 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0824-395406e172254756a903f7ff5c3b8e0d_ful']
https://144.202.14.57/lot/142031356-2016-cadillac-escalade-e-1gys4jkj3gr268825,1GYS4JKJ3GR268825,#65313024,Copart,United States,Nc - Lumberton,-,2024-09-23,Automobile,2016,Cadillac,Escalade E,Black,-,4x4 W/rear Wheel Drv,Gas,6.2 L 8 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0824-64cb3fc9003e4b898239f24d8e9ecbbc_ful']
https://144.202.14.57/lot/149942376-2012-jeep-grand-cherokee-1c4rjfbg3cc342823,1C4RJFBG3CC342823,#67324994,Copart,United States,Vt - Rutland,-,2024-09-23,Automobile,2012,Jeep,Grand Cherokee,Black,-,4x4 W/rear Wheel Drv,Flexiblefuel,3.6 L 6 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0824-c7d2bdf413ef40918393165ddd257a3d_ful']
https://144.202.14.57/lot/149369356-2018-toyota-corolla-im-jtnkarjexjj573791,JTNKARJEXJJ573791,#65396394,Copart,United States,Co - Denver South,Insurance company,2024-09-23,Automobile,2018,Toyota,Corolla Im,Silver,-,Front Wheel Drive,Gas,1.8 L 4 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0824-b16bfc2115ac49d08223e2914a7c2547_ful']
https://144.202.14.57/lot/144608296-2018-cadillac-xts-luxury-2g61n5s33j9149488,2G61N5S33J9149488,#69280644,Copart,United States,Tx - Dallas South,-,2024-09-23,Automobile,2018,Cadillac,Xts Luxury,Black,-,All Wheel Drive,Gas,3.6 L 6 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0924-3cb2658655864b089bf2205da63bb7a1_ful']
https://144.202.14.57/lot/141110196-2013-jeep-wrangler-s-1c4ajwag1dl612261,1C4AJWAG1DL612261,#69101114,Copart,United States,Tx - Houston East,-,2024-09-23,Automobile,2013,Jeep,Wrangler S,Burgundy,-,4x4 W/rear Wheel Drv,Flexiblefuel,3.6 L 6 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0824-881570caf64c41e191247ad08098bebf_ful']
https://144.202.14.57/lot/145311027-2015-mercedes-benz-s-65-amg-wddug7kb4fa084384,WDDUG7KB4FA084384,#72011354,Copart,United States,Ca - Sun Valley,-,2024-09-23,Automobile,2015,Mercedes-benz,S 65 Amg,Silver,Sedan 4dr,Rear Wheel Drive,Gas,6.0 L 12 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0924-c1b2c486ee2f4e0fbe1b600a8e08738f_ful']
https://144.202.14.57/lot/145442666-2017-jeep-cherokee-s-1c4pjmab5hw614411,1C4PJMAB5HW614411,#66624454,Copart,United States,Co - Denver South,Insurance company,2024-09-23,Automobile,2017,Jeep,Cherokee S,Grey,-,4x4 W/front Whl Drv,Gas,2.4 L 4 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0824-5d02bd049c964482a916ba83c706f83c_ful']
https://144.202.14.57/lot/145265217-2009-toyota-tacoma-dou-3tmlu42n99m024017,3TMLU42N99M024017,#71256254,Copart,United States,Wi - Appleton,-,2024-09-23,Automobile,2009,Toyota,Tacoma Dou,Red,-,4x4 W/rear Wheel Drv,Gas,4.0 L 6 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0924-ee0c8c60b86b429581b13abe972adf67_ful']
https://144.202.14.57/lot/146045365-2022-hyundai-tucson-sel-km8jfca13nu035770,KM8JFCA13NU035770,#56354064,Copart,United States,Tx - Longview,-,2024-09-23,Automobile,2022,Hyundai,Tucson Sel,Grey,-,All Wheel Drive,Hybrid Engine,1.6 L 4 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0524-b3c1ad5cb40345709d9c1dbfb8e52818_ful']
https://144.202.14.57/lot/141891346-2016-honda-accord-exl-1hgcr2f81ga062234,1HGCR2F81GA062234,#64319814,Copart,United States,Co - Denver South,-,2024-09-23,Automobile,2016,Honda,Accord Exl,Grey,-,Front Wheel Drive,Gas,2.4 L 4 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0724-cd159637775f410b8bec9907825667d3_ful']
https://144.202.14.57/lot/141074345-2017-mercedes-benz-c-300-wddwj4jb4hf494666,WDDWJ4JB4HF494666,#54347014,Copart,United States,Nv - Las Vegas West,-,2024-09-23,Automobile,2017,Mercedes-benz,C 300,White,-,Rear Wheel Drive,Gas,2.0 L 4 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0524-1a8818a7da8f41e39d0a85c3ab5d4539_ful']
https://144.202.14.57/lot/143117295-2018-audi-a3-premium-wau5ulff1j1008625,WAU5ULFF1J1008625,#59271134,Copart,United States,Nm - Albuquerque,-,2024-09-23,Automobile,2018,Audi,A3 Premium,White,-,Front Wheel Drive,Gas,2.0 L 4 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0824-caf20665fb13491da4f01948f5874dd1_ful']
https://144.202.14.57/lot/142524395-2020-toyota-camry-se-4t1g11ak3lu344674,4T1G11AK3LU344674,#59342524,Copart,United States,Co - Denver South,Insurance company,2024-09-23,Automobile,2020,Toyota,Camry Se,Purple,-,Front Wheel Drive,Gas,2.5 L 4 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0624-83e1ee40c4544330822a7937c2adc195_ful']
https://144.202.14.57/lot/143441195-2008-ford-f250-super-1ftsf21r88ea39983,1FTSF21R88EA39983,#59114434,Copart,United States,In - Dyer,-,2024-09-23,Automobile,2008,Ford,F250 Super,White,-,4x4 W/rear Wheel Drv,Diesel,6.4 L 8 cyl,Manual,['https://ucars.pro/lot/images/copart/lpp-0624-ed61aaf16342445c80adc8f712ec4ce1_ful']
https://144.202.14.57/lot/144585095-2024-honda-hr-v-sport-3czrz2h59rm703707,3CZRZ2H59RM703707,#59058544,Copart,United States,Mo - Sikeston,-,2024-09-23,Automobile,2024,Honda,Hr-v Sport,Blue,-,All Wheel Drive,Gas,2.0 L 4 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0624-a66e5419dabd429d86a30585dcf9e24a_ful']
https://144.202.14.57/lot/149031875-2024-chevrolet-silverado-3gcudfed4rg322816,3GCUDFED4RG322816,#57813094,Copart,United States,Tx - Dallas South,-,2024-09-23,Automobile,2024,Chevrolet,Silverado,Black,-,4x4 W/rear Wheel Drv,Gas,5.3 L 8 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0624-3ccff20ea72640ff873c312a56dc4185_ful']
https://144.202.14.57/lot/147285366-2021-toyota-corolla-le-jtdvpmae2mj154681,JTDVPMAE2MJ154681,#66358274,Copart,United States,Sc - Spartanburg,-,2024-09-23,Automobile,2021,Toyota,Corolla Le,Blue,-,Front Wheel Drive,Gas,1.8 L 4 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0824-d65dfc46f9b94338be570e38e4b65226_ful']
https://144.202.14.57/lot/142662106-2017-toyota-highlander-5tdjzrfh5hs361678,5TDJZRFH5HS361678,#60126624,Copart,United States,Co - Denver South,Insurance company,2024-09-23,Automobile,2017,Toyota,Highlander,Silver,-,All Wheel Drive,Gas,3.5 L 6 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0624-b9b69b0aabb04960b0f2152baee6f447_ful']
https://144.202.14.57/lot/147735395-2021-jeep-grand-cherokee-1c4rjeag5mc518347,1C4RJEAG5MC518347,#59353774,Copart,United States,Nv - Las Vegas West,-,2024-09-23,Automobile,2021,Jeep,Grand Cherokee,Grey,-,Rear Wheel Drive,Flexiblefuel,3.6 L 6 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0624-f114f4fa2b234e3cbe76531ee8a1add4_ful']
https://144.202.14.57/lot/146956017-2019-chevrolet-trax-ls-3gncjksb5kl151031,3GNCJKSB5KL151031,#71065964,Copart,United States,Ma - South Boston,-,2024-09-23,Automobile,2019,Chevrolet,Trax Ls,Grey,-,Front Wheel Drive,Gas,1.4 L 4 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0924-29be0622f9c74bb98062ccbd69152254_ful']
https://144.202.14.57/lot/149399107-2022-ford-explorer-1fmsk8bh6nga03242,1FMSK8BH6NGA03242,#70199394,Copart,United States,Pa - Philadelphia,-,2024-09-23,Automobile,2022,Ford,Explorer,White,-,4x4 W/rear Wheel Drv,Gas,2.3 L 4 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0924-4525a0fbb584481ca67534f8579a1040_ful']
https://144.202.14.57/lot/146522606-2015-nissan-frontier-s-1n6ad0ev8fn750882,1N6AD0EV8FN750882,#60622564,Copart,United States,Ks - Wichita,-,2024-09-23,Automobile,2015,Nissan,Frontier S,Grey,-,4x4 W/rear Wheel Drv,Gas,4.0 L 6 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0624-76dc61aae5d5405cb17a44bc59dc3cd0_ful']
https://144.202.14.57/lot/149024856-2016-nissan-versa-s-3n1cn7apxgl886878,3N1CN7APXGL886878,#65842094,Copart,United States,Tx - Houston East,-,2024-09-23,Automobile,2016,Nissan,Versa S,Brown,Sedan 4dr,Front Wheel Drive,Gas,1.6 L 4 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0824-31791e3a8da64d12a143140e2da07df5_ful']
https://144.202.14.57/lot/148863286-2017-hyundai-accent-se-kmhct4ae4hu291978,KMHCT4AE4HU291978,#68236884,Copart,United States,Il - Southern Illinois,-,2024-09-23,Automobile,2017,Hyundai,Accent Se,White,-,Front Wheel Drive,Gas,1.6 L 4 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0824-8cfb73432b0948029ffc0b66603b7e59_ful']
https://144.202.14.57/lot/145863776-2010-dodge-charger-2b3aa4ct9ah199398,2B3AA4CT9AH199398,#67736854,Copart,United States,Al - Mobile,Insurance company,2024-09-23,Automobile,2010,Dodge,Charger,Silver,-,Rear Wheel Drive,Gas,5.7 L 8 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0824-3973e9dbb559471b8e10b87ec2f0655b_ful']
https://144.202.14.57/lot/147241684-2022-ram-promaster-zfbhrfab3n6x56747,ZFBHRFAB3N6X56747,#48614274,Copart,United States,In - Dyer,-,2024-09-23,Automobile,2022,Ram,Promaster,White,-,Front Wheel Drive,Gas,2.4 L 4 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0324-c7c7669eb4374fa9bcfdc8684edec41c_ful']
https://144.202.14.57/lot/142986664-2020-volvo-xc90-t5-mo-yv4102pkxl1557050,YV4102PKXL1557050,#46668924,Copart,United States,Ct - Hartford,-,2024-09-24,Automobile,2020,Volvo,Xc90 T5 Mo,Grey,-,All Wheel Drive,Gas,2.0 L 4 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0324-02e095943f7d4e3e9cf25e8aa251d8f9_ful']
https://144.202.14.57/lot/145538736-2024-bmw-i4-xdrive-wby83fb08rfr71637,WBY83FB08RFR71637,#63783554,Copart,United States,Nh - Candia,Insurance company,2024-09-24,Automobile,2024,Bmw,I4 Xdrive,Blue,-,All Wheel Drive,Electric,-,Automatic,['https://ucars.pro/lot/images/copart/lpp-0724-d36560dadcbc4d5bba5657704ca3efe0_ful']
https://144.202.14.57/lot/146284966-2009-audi-a4-20t-qu-waulf78k19n056424,WAULF78K19N056424,#66948264,Copart,United States,Pa - Scranton,-,2024-09-24,Automobile,2009,Audi,A4 2.0t Qu,Black,-,All Wheel Drive,Gas,2.0 L 4 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0824-9f64aa97333c489b952954ed931915a1_ful']
https://144.202.14.57/lot/140366856-2020-ford-f150-super-1ftew1e5xlke90390,1FTEW1E5XLKE90390,#65866304,Copart,United States,Tn - Knoxville,-,2024-09-24,Automobile,2020,Ford,F150 Super,Blue,-,4x4 W/rear Wheel Drv,Gas,5.0 L 8 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0824-699a9b734b5442dea45f8b2d65e575ea_ful']
https://144.202.14.57/lot/149626706-2021-bmw-530-xi-wba13bj03mcf24222,WBA13BJ03MCF24222,#60762694,Copart,United States,Pa - Philadelphia,-,2024-09-24,Automobile,2021,Bmw,530 Xi,Black,-,All Wheel Drive,Gas,2.0 L 4 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0624-4587fd1fbb1241fcbf975b92a353279d_ful']
https://144.202.14.57/lot/144682175-2019-toyota-prius-jtdl9rfu6k3003567,JTDL9RFU6K3003567,#57128644,Copart,United States,Nh - Candia,-,2024-09-24,Automobile,2019,Toyota,Prius,Teal,-,All Wheel Drive,Hybrid Engine,1.8 L 4 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0624-90a6e4882c7645f196c4fff439c09a0e_ful']
https://144.202.14.57/lot/144938766-2017-bmw-530-xi-wbaja7c35hg903714,WBAJA7C35HG903714,#66783944,Copart,United States,Tn - Knoxville,-,2024-09-24,Automobile,2017,Bmw,530 Xi,Grey,-,All Wheel Drive,Gas,2.0 L 4 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0824-c539901c19eb432692b5eb5e713a2307_ful']
https://144.202.14.57/lot/143437217-2015-bmw-528-i-wba5a5c5xfd516078,WBA5A5C5XFD516078,#71273434,Copart,United States,Tx - Mcallen,-,2024-09-24,Automobile,2015,Bmw,528 I,White,Sedan 4dr,Rear Wheel Drive,Gas,2.0 L 4 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0924-5788ab81ec9d49de806fd54ff2bd529f_ful']
https://144.202.14.57/lot/147984407-2015-audi-s4-premium-waubgafl5fa094016,WAUBGAFL5FA094016,#70448974,Copart,United States,Ny - Syracuse,-,2024-09-24,Automobile,2015,Audi,S4 Premium,Grey,Sedan 4dr,All Wheel Drive,Gas,3.0 L 6 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0924-8a166480bc8742c4b510f1ce4adf4886_ful']
https://144.202.14.57/lot/141441396-2025-bmw-x5-xdrive4-5ux23eu03s9w64197,5UX23EU03S9W64197,#69314414,Copart,Canada,On - London,-,2024-09-24,Automobile,2025,Bmw,X5 Xdrive4,White,-,All Wheel Drive,Gas,3.0 L 6 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0824-8c346521207b4161b95f9dd771fa3889_ful']
https://144.202.14.57/lot/143567776-2024-hyundai-elantra-se-kmhlm4dg9ru789041,KMHLM4DG9RU789041,#67776534,Copart,Canada,On - London,-,2024-09-24,Automobile,2024,Hyundai,Elantra Se,Grey,-,Front Wheel Drive,Gas,2.0 L 4 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0824-308f8db5e24e4611a0131bdb379a2874_ful']
https://144.202.14.57/lot/141103227-2024-lexus-ux-250h-ba-jthb9jbh6r2078841,JTHB9JBH6R2078841,#72230114,Copart,Canada,On - Toronto,-,2024-09-24,Automobile,2024,Lexus,Ux 250h Ba,Blue,-,All Wheel Drive,Hybrid Engine,2.0 L 4 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0924-6a59c7e740114bcca4f830da5faa8c0c_ful']
https://144.202.14.57/lot/143182427-2024-bmw-x7-xdrive4-5ux23em04r9s79161,5UX23EM04R9S79161,#72428134,Copart,Canada,On - Toronto,-,2024-09-24,Automobile,2024,Bmw,X7 Xdrive4,White,-,All Wheel Drive,Gas,3.0 L 6 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0924-68e05a54ab134cd78029b1f679c41233_ful']
https://144.202.14.57/lot/145215395-2023-kia-sportage-e-kndpvcaf9p7114651,KNDPVCAF9P7114651,#59351254,Copart,Canada,On - Toronto,-,2024-09-24,Automobile,2023,Kia,Sportage E,White,-,All Wheel Drive,Gas,2.5 L 4 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0624-42a0d18fac7640e48e5269c716038409_ful']
https://144.202.14.57/lot/144182246-2023-bmw-x3-xdrive3-5ux53dp02p9p61630,5UX53DP02P9P61630,#64228144,Copart,Canada,On - Toronto,-,2024-09-24,Automobile,2023,Bmw,X3 Xdrive3,Black,-,All Wheel Drive,Gas,2.0 L 4 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0724-d7ee588b50fa4b9ab40c07930bdb109b_ful']
https://144.202.14.57/lot/141032396-2015-gmc-sierra-k15-3gtu2uec2fg403911,3GTU2UEC2FG403911,#69323014,Copart,United States,Ga - Atlanta South,-,2024-09-24,Automobile,2015,Gmc,Sierra K15,Black,-,4x4 W/rear Wheel Drv,Gas,5.3 L 8 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0824-feaca303011945599a59b5a2c1afbbea_ful']
https://144.202.14.57/lot/145386146-2011-toyota-camry-base-4t1bf3ek3bu690014,4T1BF3EK3BU690014,#64168354,Copart,United States,Nh - Candia,-,2024-09-24,Automobile,2011,Toyota,Camry Base,Grey,-,Front Wheel Drive,Gas,2.5 L 4 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0724-6581e418ec564d9cb78d924e2e0aaccf_ful']
https://144.202.14.57/lot/143287016-2014-toyota-rav4-limit-2t3dfrev4ew175203,2T3DFREV4EW175203,#61078234,Copart,United States,Ga - Augusta,-,2024-09-24,Automobile,2014,Toyota,Rav4 Limit,Red,-,All Wheel Drive,Gas,2.5 L 4 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0724-c409e10670a947f5b8b690c5fd970ea8_ful']
https://144.202.14.57/lot/146144776-2015-volkswagen-tiguan-s-wvgbv7ax2fw019357,WVGBV7AX2FW019357,#67744164,Copart,United States,Wa - North Seattle,-,2024-09-23,Automobile,2015,Volkswagen,Tiguan S,Grey,-,All Wheel Drive,Gas,2.0 L 4 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0824-f8b2aff344334705b26012ca532c891e_ful']
https://144.202.14.57/lot/146969307-2015-audi-q5-premium-wa1dgafp2fa145125,WA1DGAFP2FA145125,#70396964,Copart,United States,Wa - North Seattle,-,2024-09-23,Automobile,2015,Audi,Q5 Premium,Silver,-,All Wheel Drive,Gas,3.0 L 6 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0924-816bb2905f314ffd8792be805e577f9e_ful']
https://144.202.14.57/lot/140869517-2004-nissan-pathfinder-jn8dr09y44w917708,JN8DR09Y44W917708,#71596804,Copart,United States,Va - Fredericksburg,-,2024-09-24,Automobile,2004,Nissan,Pathfinder,Silver,4dr Sport Utility,4x4 W/rear Wheel Drv,Gas,3.5 L 6 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0924-9f7dcdda44a9413aa22108872353039d_ful']
https://144.202.14.57/lot/149467065-2023-chevrolet-tahoe-k150-1gnskskt0pr209466,1GNSKSKT0PR209466,#56076494,Copart,United States,In - Indianapolis,-,2024-09-24,Automobile,2023,Chevrolet,Tahoe K150,Black,-,4x4 W/rear Wheel Drv,Diesel,3.0 L 6 cyl,Automatic,['https://ucars.pro/lot/images/copart/lpp-0524-27862a3cf94640ebaf8cb0b0d2868945_ful']
